province,pop2015
METROPOLITAN MANILA,12877253
ABRA,241160
BENGUET,791590
IFUGAO,202802
KALINGA,212680
MOUNTAIN PROVINCE,154590
APAYAO,119184
ILOCOS NORTE,593081
ILOCOS SUR,689668
LA UNION,786653
PANGASINAN,2956726
BATANES,17246
CAGAYAN,1199320
ISABELA,1593566
NUEVA VIZCAYA,452287
QUIRINO,188991
BATAAN,760650
BULACAN,3292071
NUEVA ECIJA,2151461
PAMPANGA,2609744
TARLAC,1366027
ZAMBALES,823888
AURORA,214336
BATANGAS,2694335
CAVITE,3678301
LAGUNA,3035081
QUEZON,2122830
RIZAL,2884227
MARINDUQUE,234521
OCCIDENTAL MINDORO,487414
ORIENTAL MINDORO,844059
PALAWAN,1104585
ROMBLON,292781
ALBAY,1314826
CAMARINES NORTE,583313
CAMARINES SUR,1952544
CATANDUANES,260964
MASBATE,892393
SORSOGON,792949
AKLAN,574823
ANTIQUE,582012
CAPIZ,761384
ILOILO,2384415
GUIMARAS,174613
BOHOL,1313560
CEBU,4632359
SIQUIJOR,95984
NEGROS OCCIDENTAL,3059136
BACOLOD CITY,561875
NEGROS ORIENTAL,1354995
EASTERN SAMAR,467160
LEYTE,1966768
NORTHERN SAMAR,632379
SAMAR,780481
SOUTHERN LEYTE,421750
BILIRAN,171612
ZAMBOANGA DEL NORTE,1011393
ZAMBOANGA DEL SUR,1872473
ZAMBOANGA SIBUGAY,633129
BUKIDNON,1415226
CAMIGUIN,88478
LANAO DEL NORTE,1019013
MISAMIS OCCIDENTAL,602126
MISAMIS ORIENTAL,1564459
DAVAO DEL NORTE,1016332
DAVAO DEL SUR,2265579
DAVAO ORIENTAL,558958
COMPOSTELA VALLEY,736107
DAVAO OCCIDENTAL,316342
NORTH COTABATO,1379747
SOUTH COTABATO,1509735
SULTAN KUDARAT,812095
SARANGANI,544261
BASILAN,459367
LANAO DEL SUR,1045429
MAGUINDANAO,1473371
SULU,824731
TAWI-TAWI,390715
AGUSAN DEL NORTE,691566
AGUSAN DEL SUR,700653
SURIGAO DEL NORTE,485088
SURIGAO DEL SUR,592250
DINAGAT ISLANDS,127152
