province,registered_voters
ABRA,156968
APAYAO,64867
BENGUET,352291
IFUGAO,121375
KALINGA,121375
MOUNTAIN PROVINCE,98333
ILOCOS NORTE,378786
ILOCOS SUR,411951
LA UNION,454778
PANGASINAN,1705260
BATANES,11006
CAGAYAN,647035
ISABELA,911910
NUEVA VIZCAYA,246540
QUIRINO,104461
AURORA,126525
BATAAN,494076
BULACAN,1640615
NUEVA ECIJA,1314658
PAMPANGA,1278260
TARLAC,739526
ZAMBALES,462732
BATANGAS,1526195
CAVITE,1843163
LAGUNA,1675366
QUEZON,1124090
RIZAL,1450458
MARINDUQUE,136110
OCCIDENTAL MINDORO,249734
ORIENTAL MINDORO,445216
PALAWAN,583057
ROMBLON,175209
ALBAY,742204
CAMARINES NORTE,300890
CAMARINES SUR,1001870
CATANDUANES,173972
MASBATE,477701
SORSOGON,425025
ISABELA CITY,68450
BASILAN,167600
LANAO DEL SUR,484435
MAGUINDANAO,530793
SULU,324543
TAWI-TAWI,183879
ZAMBOANGA SIBUGAY,350699
ZAMBOANGA DEL NORTE,605146
ZAMBOANGA DEL SUR,975950
BUKIDNON,765898
CAMIGUIN,57570
LANAO DEL NORTE,489436
MISAMIS OCCIDENTAL,365267
MISAMIS ORIENTAL,863160
COMPOSTELA VALLEY,408539
DAVAO OCCIDENTAL,158519
DAVAO ORIENTAL,319942
DAVAO DEL NORTE,525342
DAVAO DEL SUR,1247362
COTABATO CITY,103530
NORTH COTABATO,669019
SARANGANI,300075
SOUTH COTABATO,724325
SULTAN KUDARAT,392693
AGUSAN DEL NORTE,411961
AGUSAN DEL SUR,373500
DINAGAT ISLANDS,69051
SURIGAO DEL NORTE,325053
SURIGAO DEL SUR,367528
AKLAN,345359
ANTIQUE,322861
CAPIZ,457382
GUIMARAS,105545
ILOILO,1347514
NEGROS OCCIDENTAL,1663492
BOHOL,798768
CEBU,2722288
NEGROS ORIENTAL,785712
SIQUIJOR,68988
BILIRAN,108833
EASTERN SAMAR,300818
LEYTE,1151497
NORTHERN SAMAR,386163
SAMAR,490421
SOUTHERN LEYTE,261148
MANILA,974479
QUEZON CITY,1150342
MARIKINA,217711
MAKATI CITY,397587
TAGUIG,369095
MANDALUYONG,200760
PASIG CITY,390923
PATEROS,33938
PASAY CITY,253824
PARAÑAQUE,291067
LAS PIÑAS,304311
MUNTINLUPA,309595
NAVOTAS,125795
MALABON,194733
KALOOKAN CITY,648933
VALENZUELA,318931
SAN JUAN,71225
