province,poverty2015
METROPOLITAN MANILA,27
ABRA,0
BENGUET,10
IFUGAO,23
KALINGA,13
MOUNTAIN PROVINCE,10
APAYAO,4
ILOCOS NORTE,39
ILOCOS SUR,33
LA UNION,9
PANGASINAN,38
BATANES,4
CAGAYAN,39
ISABELA,6
NUEVA VIZCAYA,0
QUIRINO,1
BATAAN,24
BULACAN,30
NUEVA ECIJA,23
PAMPANGA,34
TARLAC,12
ZAMBALES,36
AURORA,38
BATANGAS,40
CAVITE,40
LAGUNA,39
QUEZON,12
RIZAL,6
MARINDUQUE,10
OCCIDENTAL MINDORO,6
ORIENTAL MINDORO,22
PALAWAN,19
ROMBLON,27
ALBAY,9
CAMARINES NORTE,20
CAMARINES SUR,15
CATANDUANES,13
MASBATE,17
SORSOGON,0
AKLAN,12
ANTIQUE,31
CAPIZ,14
ILOILO,30
GUIMARAS,10
BOHOL,10
CEBU,21
SIQUIJOR,14
NEGROS OCCIDENTAL,57
NEGROS ORIENTAL,76
EASTERN SAMAR,65
LEYTE,77
NORTHERN SAMAR,86
SAMAR,77
SOUTHERN LEYTE,59
BILIRAN,67
ZAMBOANGA DEL NORTE,82
ZAMBOANGA DEL SUR,70
ZAMBOANGA SIBUGAY,80
BUKIDNON,69
CAMIGUIN,57
LANAO DEL NORTE,56
MISAMIS OCCIDENTAL,65
MISAMIS ORIENTAL,69
DAVAO DEL NORTE,54
DAVAO DEL SUR,60
DAVAO ORIENTAL,72
COMPOSTELA VALLEY,79
DAVAO OCCIDENTAL,68
NORTH COTABATO,75
SOUTH COTABATO,63
SULTAN KUDARAT,56
SARANGANI,53
BASILAN,73
LANAO DEL SUR,63
MAGUINDANAO,67
SULU,65
TAWI-TAWI,88
AGUSAN DEL NORTE,69
AGUSAN DEL SUR,72
SURIGAO DEL NORTE,85
SURIGAO DEL SUR,52
DINAGAT ISLANDS,71
