province,poverty2015
METROPOLITAN MANILA,27
ABRA,0
BENGUET,10
IFUGAO,23
KALINGA,13
MOUNTAIN PROVINCE,10
APAYAO,4
ILOCOS NORTE,39
ILOCOS SUR,33
LA UNION,9
PANGASINAN,38
BATANES,4
CAGAYAN,39
ISABELA,6
NUEVA VIZCAYA,0
QUIRINO,1
BATAAN,24
BULACAN,30
NUEVA ECIJA,23
PAMPANGA,34
TARLAC,12
ZAMBALES,36
AURORA,38
BATANGAS,40
CAVITE,40
LAGUNA,39
QUEZON,12
RIZAL,6
MARINDUQUE,10
OCCIDENTAL MINDORO,6
ORIENTAL MINDORO,22
PALAWAN,19
ROMBLON,27
ALBAY,9
CAMARINES NORTE,20
CAMARINES SUR,15
CATANDUANES,13
MASBATE,17
SORSOGON,0
AKLAN,12
ANTIQUE,31
CAPIZ,14
ILOILO,30
GUIMARAS,10
BOHOL,10
CEBU,21
SIQUIJOR,14
NEGROS OCCIDENTAL,7
NEGROS ORIENTAL,26
EASTERN SAMAR,15
LEYTE,27
NORTHERN SAMAR,36
SAMAR,27
SOUTHERN LEYTE,9
BILIRAN,17
ZAMBOANGA DEL NORTE,32
ZAMBOANGA DEL SUR,20
ZAMBOANGA SIBUGAY,30
BUKIDNON,19
CAMIGUIN,7
LANAO DEL NORTE,6
MISAMIS OCCIDENTAL,15
MISAMIS ORIENTAL,19
DAVAO DEL NORTE,4
DAVAO DEL SUR,10
DAVAO ORIENTAL,22
COMPOSTELA VALLEY,29
DAVAO OCCIDENTAL,18
NORTH COTABATO,25
SOUTH COTABATO,13
SULTAN KUDARAT,6
SARANGANI,3
BASILAN,23
LANAO DEL SUR,13
MAGUINDANAO,17
SULU,15
TAWI-TAWI,38
AGUSAN DEL NORTE,19
AGUSAN DEL SUR,22
SURIGAO DEL NORTE,35
SURIGAO DEL SUR,2
DINAGAT ISLANDS,21
